Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento,Circuito,Nacionalidade_pt
Charles Leclerc,Monaco,"[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",0,171,169,27,8,50,10,1656,                                                                                                                                                                                                                                                               ,0.16,0.99,0.05,0.3,0.06,9.8,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Mônaco
Charles Pic,France,"[2012, 2013]",0,39,39,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Charles Pozzi,France,[1950],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Chet Miller,United States,"[1951, 1952]",0,4,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,Chet Miller                                                                                                                                                                                                                                                    ,50,05/15/53                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Practice,Indianapolis 500,Estados Unidos
Chico Landi,Brazil,"[1951, 1952, 1953, 1956]",0,6,6,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.25,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Chico Serra,Brazil,"[1981, 1982, 1983]",0,33,18,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,0.55,0.0,0.0,0.0,0.03,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Chris Amon,New Zealand,"[1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976]",0,108,96,5,0,11,3,83,                                                                                                                                                                                                                                                               ,0.05,0.89,0.0,0.1,0.03,0.77,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Nova Zelândia
Chris Bristow,United Kingdom,"[1959, 1960]",0,4,4,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Chris Bristow                                                                                                                                                                                                                                                  ,22,06/19/60                                                                                                                                                                                                                                                       ,Belgian Grand Prix,Cooper,Race,Belgian Grand Prix,Reino Unido
Chris Craft,United Kingdom,[1971],0,2,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Chris Irwin,United Kingdom,"[1966, 1967]",0,10,10,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.2,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Chris Lawrence,United Kingdom,[1966],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Christian Danner,West Germany,"[1985, 1986, 1987, 1989]",0,47,36,0,0,0,0,4,                                                                                                                                                                                                                                                               ,0.0,0.77,0.0,0.0,0.0,0.09,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha Ocidental
Christian Fittipaldi,Brazil,"[1992, 1993, 1994]",0,43,40,0,0,0,0,12,                                                                                                                                                                                                                                                               ,0.0,0.93,0.0,0.0,0.0,0.28,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Christian Goethals,Belgium,[1958],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
Christian Klien,Austria,"[2004, 2005, 2006, 2010]",0,51,49,0,0,0,0,14,                                                                                                                                                                                                                                                               ,0.0,0.96,0.0,0.0,0.0,0.27,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Áustria
Christijan Albers,Netherlands,"[2005, 2006, 2007]",0,46,46,0,0,0,0,4,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.09,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Países Baixos
Chuck Arnold,United States,[1959],0,2,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Chuck Daigh,United States,[1960],0,6,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Chuck Stevenson,United States,"[1951, 1952, 1953, 1954, 1960]",0,5,5,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Chuck Weyant,United States,"[1955, 1957, 1958, 1959]",0,6,4,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Claudio Langes,Italy,[1990],0,14,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Clay Regazzoni,Switzerland,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980]",0,139,132,5,5,28,15,209,                                                                                                                                                                                                                                                               ,0.04,0.95,0.04,0.2,0.11,1.5,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suíça
Clemar Bucci,Argentina,"[1954, 1955]",0,5,5,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Clemente Biondetti,Italy,[1950],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Cliff Allison,United Kingdom,"[1958, 1959, 1960, 1961]",0,18,16,0,0,1,0,11,                                                                                                                                                                                                                                                               ,0.0,0.89,0.0,0.06,0.0,0.61,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Cliff Griffith,United States,"[1951, 1952, 1956]",0,7,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.43,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Clive Puzey,Rhodesia,[1965],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Rodésia
Colin Chapman,United Kingdom,[1956],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Colin Davis,United Kingdom,[1959],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Conny Andersson,Sweden,"[1976, 1977]",0,5,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.2,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suécia
Consalvo Sanesi,Italy,"[1950, 1951]",0,5,5,0,0,0,0,3,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.6,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Corrado Fabi,Italy,"[1983, 1984]",0,18,12,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Cristiano Da Matta,Brazil,"[2003, 2004]",0,28,28,0,0,0,0,13,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.46,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Cuth Harrison,United Kingdom,[1950],0,3,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Damien Magee,United Kingdom,"[1975, 1976]",0,2,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Damon Hill,United Kingdom,"[1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999]",1,122,115,20,22,42,19,360,[1996]                                                                                                                                                                                                                                                         ,0.16,0.94,0.18,0.34,0.16,2.95,True,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Dan Gurney,United States,"[1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1970]",0,87,86,3,4,19,6,133,                                                                                                                                                                                                                                                               ,0.03,0.99,0.05,0.22,0.07,1.53,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Daniel Ricciardo,Australia,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",0,257,257,3,8,32,16,1329,                                                                                                                                                                                                                                                               ,0.01,1.0,0.03,0.12,0.06,5.17,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Austrália
Daniil Kvyat,Russia,"[2014, 2015, 2016, 2017, 2019, 2020]",0,112,110,0,0,3,1,202,                                                                                                                                                                                                                                                               ,0.0,0.98,0.0,0.03,0.01,1.8,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Rússia
Danny Kladis,United States,[1954],0,5,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.2,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Danny Ongais,United States,"[1977, 1978]",0,6,4,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Danny Sullivan,United States,[1983],0,15,15,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.13,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Dave Charlton,South Africa,"[1965, 1967, 1968, 1970, 1971, 1972, 1973, 1974, 1975]",0,14,11,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.79,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,África do Sul
Dave Morgan,United Kingdom,[1975],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
David Brabham,Australia,"[1990, 1994]",0,30,24,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.8,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Austrália
David Clapham,South Africa,[1965],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,África do Sul
David Coulthard,United Kingdom,"[1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008]",0,247,246,12,13,62,18,535,                                                                                                                                                                                                                                                               ,0.05,1.0,0.05,0.25,0.07,2.17,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
David Hampshire,United Kingdom,[1950],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
David Hobbs,United Kingdom,"[1967, 1968, 1971, 1974]",0,7,7,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
David Kennedy,Ireland,[1980],0,7,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Irlanda
David Murray,United Kingdom,"[1950, 1951, 1952]",0,5,4,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.8,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
